id;title;message;is_read;user_login
1;Rustic Throughway;1080p;true;USB
2;purple program next-generation;Wooden reboot;true;bluetooth Yen
3;Sports invoice;Forges;false;Officer stable Intelligent
4;alarm compressing;Fresh payment Health;false;reintermediate Borders e-business
5;schemas;Specialist 1080p Spur;false;parsing
6;Gloves;non-volatile;true;mobile Loan
7;Table Nam architectures;Licensed infrastructures Litas;true;customized withdrawal
8;visualize;scale Kwanza Granite;true;Mexican bottom-line
9;navigate override;GB Avon;false;deposit applications
10;New partnerships integrate;generation Tasty panel;false;action-items compress Directives
